time,left,right,center
1740729508.8219063,0,1,0
1740729508.883876,0,1,0
1740729508.946915,0,1,0
1740729509.0071807,0,1,0
1740729509.0676844,0,1,0
1740729509.1321518,0,1,0
1740729509.1946344,0,1,0
1740729509.2578273,0,1,0
1740729509.3136623,0,1,0
1740729509.3748558,0,1,0
1740729509.4377613,0,1,0
1740729509.5011957,0,1,0
1740729509.5628045,0,1,0
1740729509.6274054,0,1,0
1740729509.6978948,0,0,1
1740729509.757862,0,0,1
1740729509.8189235,0,0,1
1740729509.8837914,0,0,1
1740729509.9449847,0,0,1
1740729510.0050242,0,0,1
1740729510.069706,0,0,1
1740729510.1336274,0,0,1
1740729510.197191,0,1,0
1740729510.2571747,0,0,1
1740729510.319604,0,0,1
1740729510.3864324,0,0,1
1740729510.443583,0,1,0
1740729510.5065536,0,1,0
1740729510.5680711,0,1,0
1740729510.630759,0,1,0
1740729510.6909528,0,1,0
1740729510.7531097,0,1,0
1740729510.8146458,0,0,1
1740729510.8768368,0,0,1
1740729510.9372778,0,0,1
1740729511.0015976,0,0,1
1740729511.064128,0,0,1
1740729511.1240442,0,0,1
1740729511.1893528,0,0,1
1740729511.2509975,0,0,1
1740729511.314738,0,0,1
1740729511.380001,0,0,1
1740729511.4395237,0,0,1
1740729511.5009496,0,0,1
1740729511.5666478,0,0,1
1740729511.6269593,0,0,1
1740729511.6904087,0,0,1
1740729511.7517412,0,0,1
1740729511.8148966,0,0,1
1740729511.8758557,0,0,1
1740729511.9366655,0,0,1
1740729512.0018945,0,0,1
1740729512.0657587,0,0,1
1740729512.1254773,0,0,1
1740729512.1877313,0,0,1
1740729512.2535179,0,0,1
1740729512.31307,0,0,1
1740729512.3762252,0,0,1
1740729512.4383082,0,0,1
1740729512.5035434,0,0,1
1740729512.562332,0,0,1
1740729512.6237316,0,0,1
1740729512.6881893,0,0,1
1740729512.7488875,0,0,1
1740729512.811506,0,0,1
1740729512.872565,0,0,1
1740729512.9357452,0,0,1
1740729512.9996805,0,0,1
1740729513.0614514,0,0,1
1740729513.1234894,0,0,1
1740729513.1870418,0,0,1
1740729513.2482045,0,0,1
1740729513.316677,0,0,1
1740729513.3774717,0,0,1
1740729513.43958,0,0,1
1740729513.5037854,0,0,1
1740729513.5668514,0,0,1
1740729513.6450758,0,1,0
1740729513.6956017,0,1,0
1740729513.7544675,0,1,0
1740729513.8150277,0,1,0
1740729513.8744693,0,1,0
